Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
MRPL,9,3,6,153808,153.81,"41.599998474121094, 101.69999694824219, 73.6500015258789, 58.45000076293945, 40.25, 81.69999694824219, 54.650001525878906, 36.650001525878906, 35.45000076293945","136.35000610351562, 52.099998474121094, 51.70000076293945, 43.25, 133.60000610351562, 60.400001525878906, 38.0, 25.700000762939453, 121.30000305175781"
MSPL,5,2,3,115817,115.82,"21.5, 17.100000381469727, 14.699999809265137, 5.849999904632568, 7.650000095367432","71.0999984741211, 12.600000381469727, 10.0, 4.0, 24.350000381469727"
MSTCLTD,2,2,0,162801,162.8,"112.44999694824219, 274.8999938964844","389.45001220703125, 1060.8499755859375"
MSUMI,0,0,0,0,0.0,,
MTARTECH,0,0,0,0,0.0,,
MTEDUCARE,4,0,4,-29772,-29.77,"130.64999389648438, 70.80000305175781, 11.949999809265137, 8.300000190734863","96.19999694824219, 51.599998474121094, 8.399999618530273, 5.949999809265137"
MTNL,7,1,6,52421,52.42,"103.6500015258789, 79.1500015258789, 67.4000015258789, 48.349998474121094, 30.799999237060547, 14.850000381469727, 7.699999809265137","65.94999694824219, 55.5, 48.099998474121094, 35.400001525878906, 21.649999618530273, 9.649999618530273, 35.650001525878906"
MUFIN,0,0,0,0,0.0,,
MUFTI,0,0,0,0,0.0,,
MUKANDLTD,5,2,3,130214,130.21,"23.0, 47.54999923706055, 31.899999618530273, 35.04999923706055, 22.5","74.69999694824219, 33.29999923706055, 22.450000762939453, 25.399999618530273, 82.80000305175781"
MUKTAARTS,3,2,1,125198,125.2,"48.150001525878906, 51.54999923706055, 23.649999618530273","167.9499969482422, 33.29999923706055, 71.1500015258789"
MUNJALAU,1,0,1,-8085,-8.09,48.70000076293945,36.099998474121094
MUNJALSHOW,1,1,0,118589,118.59,15.986000061035156,77.9000015258789
MURUDCERA,3,1,2,43248,43.25,"78.65245056152344, 14.131677627563477, 16.100000381469727","44.895545959472656, 43.5, 9.5"
MUTHOOTCAP,3,0,3,-31607,-31.61,"961.8499755859375, 539.9000244140625, 366.20001220703125","710.2000122070312, 251.0500030517578, 260.3999938964844"
MUTHOOTFIN,2,2,0,137735,137.74,"113.5999984741211, 450.8500061035156","375.75, 1481.6500244140625"
MUTHOOTMF,0,0,0,0,0.0,,
MVGJL,0,0,0,0,0.0,,
NACLIND,1,0,1,-8890,-8.89,38.79999923706055,27.299999237060547
NAGAFERT,6,2,4,117730,117.73,"11.800000190734863, 12.100000381469727, 12.600000381469727, 3.799999952316284, 12.050000190734863, 11.350000381469727","40.20000076293945, 9.0, 9.350000381469727, 12.75, 8.600000381469727, 8.5"
NAGREEKCAP,7,1,6,60060,60.06,"97.0999984741211, 74.19999694824219, 24.0, 24.950000762939453, 20.350000381469727, 10.199999809265137, 9.300000190734863","70.19999694824219, 52.20000076293945, 15.949999809265137, 17.0, 14.350000381469727, 46.75, 6.949999809265137"
NAGREEKEXP,4,2,2,134059,134.06,"26.69795036315918, 6.103960037231445, 8.798500061035156, 8.358574867248535","18.311880111694336, 22.986082077026367, 28.622623443603516, 4.674202919006348"
NAHARCAP,2,1,1,104395,104.39,"46.54999923706055, 65.30000305175781","32.099998474121094, 312.0"
NAHARINDUS,4,0,4,-37737,-37.74,"159.4499969482422, 63.900001525878906, 60.70000076293945, 26.700000762939453","105.3499984741211, 44.20000076293945, 40.04999923706055, 17.850000381469727"
NAHARPOLY,3,1,2,84828,84.83,"24.100000381469727, 12.600000381469727, 42.79999923706055","15.899999618530273, 59.54999923706055, 26.850000381469727"
NAHARSPING,5,1,4,24432,24.43,"25.0, 105.94999694824219, 57.25, 45.79999923706055, 349.25","76.6500015258789, 78.44999694824219, 42.79999923706055, 25.899999618530273, 249.0"
NAM-INDIA,2,1,1,57945,57.95,"252.85000610351562, 182.1999969482422","174.64999389648438, 588.6500244140625"
NARMADA,0,0,0,0,0.0,,
NATCOPHARM,2,1,1,56139,56.14,"10.979999542236328, 968.1500244140625","33.88999938964844, 714.5999755859375"
NATHBIOGEN,1,0,1,-10483,-10.48,310.29998779296875,205.8000030517578
NATIONALUM,3,2,1,117620,117.62,"39.1875, 53.662498474121094, 33.75","121.23750305175781, 33.150001525878906, 108.8499984741211"
NAUKRI,1,1,0,65789,65.79,325.04998779296875,1034.1500244140625
NAVA,4,2,2,100742,100.74,"55.70000076293945, 97.57499694824219, 84.44999694824219, 51.099998474121094","170.4499969482422, 71.7249984741211, 34.20000076293945, 165.0500030517578"
NAVINFLUOR,4,3,1,186293,186.29,"56.150001525878906, 25.200000762939453, 36.2400016784668, 707.5999755859375","36.0099983215332, 79.3499984741211, 122.61000061035156, 2202.35009765625"
NAVKARCORP,2,0,2,-19548,-19.55,"33.20000076293945, 64.1500015258789","17.850000381469727, 47.45000076293945"
NAVNETEDUL,1,1,0,67637,67.64,56.75,183.64999389648438
NAZARA,0,0,0,0,0.0,,
NBCC,2,1,1,60778,60.78,"104.9000015258789, 23.25","74.94999694824219, 76.0999984741211"
NBIFIN,0,0,0,0,0.0,,
NCC,7,4,3,221592,221.59,"89.22489166259766, 37.824790954589844, 34.825740814208984, 15.821535110473633, 80.3499984741211, 29.149999618530273, 68.55000305175781","58.8487663269043, 117.75874328613281, 18.72878074645996, 49.055938720703125, 54.900001525878906, 89.05000305175781, 215.4499969482422"
NCLIND,4,1,3,43974,43.97,"30.549999237060547, 23.25, 116.3499984741211, 88.5999984741211","19.450000762939453, 79.9000015258789, 86.05000305175781, 53.900001525878906"
NDGL,1,0,1,-15008,-15.01,909.6500244140625,527.2999877929688
NDL,3,2,1,131861,131.86,"3.8333330154418945, 12.033332824707031, 7.0","12.149999618530273, 6.716666221618652, 25.433332443237305"
NDLVENTURE,0,0,0,0,0.0,,
NDRAUTO,0,0,0,0,0.0,,
NDTV,6,1,5,18924,18.92,"201.4499969482422, 129.35000610351562, 101.19999694824219, 42.95000076293945, 118.0, 35.0","99.80000305175781, 84.69999694824219, 68.0999984741211, 143.25, 87.69999694824219, 26.100000381469727"
