ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent
,2010-08-01,3315.10009765625,2013-09-01,3040.449951171875,-2361.15087890625,-70.48211578824628
,2014-10-01,6199.7998046875,2021-01-01,19161.5,52512.0,838.8498402555911
,2020-07-01,344.1499938964844,2022-10-01,324.45001220703125,-169.65106201171875,-51.8889908786094
,2020-06-01,222.89999389648438,2022-12-01,307.54998779296875,11390.0,5084.821428571428
,2020-08-01,359.1499938964844,2023-04-01,307.95001220703125,-4249.598480224609,-1183.2377982580294
,2010-03-01,1568.5999755859375,2011-02-01,768.5,-15388.099304199219,-971.409604277493
,2013-01-01,1120.9000244140625,2013-09-01,141.14999389648438,-25412.401428222656,-2273.4299801529273
,2018-01-01,104.80000305175781,2018-10-01,75.25,-8665.800872802734,-8202.367011495075
,2019-04-01,125.30000305175781,2020-05-01,54.79999923706055,-16825.60036468506,-13428.25215872891
,2010-08-01,1357.75,2011-01-01,709.3499755859375,-14258.199462890625,-1044.5567372081043
,2013-02-01,843.9500122070312,2013-09-01,141.14999389648438,-24836.000213623047,-2921.8823780732996
,2018-04-01,90.4000015258789,2018-10-01,75.25,-4981.551010131836,-5510.565183680624
,2019-04-01,125.30000305175781,2020-05-01,54.79999923706055,-16825.60036468506,-13428.25215872891
,2013-05-01,823.6500244140625,2013-08-01,113.9000015258789,-25848.0,-3114.2168674698796
,2018-06-01,78.1500015258789,2018-09-01,69.55000305175781,-2125.651168823242,-2723.4478996927714
,2019-04-01,125.30000305175781,2020-06-01,75.6500015258789,-11973.901458740234,-9556.186087077876
,2010-06-01,1337.5,2011-05-01,831.6500244140625,-11097.89892578125,-828.5415155729991
,2013-02-01,843.9500122070312,2013-11-01,167.39999389648438,-23908.500213623047,-2812.7647310144757
,2018-03-01,86.5,2020-09-01,68.3499984741211,-7525.5,-8324.668001079255
,2010-09-01,1151.9000244140625,2011-06-01,874.5999755859375,-7419.099365234375,-636.8325635394314
,2013-06-01,779.2999877929688,2013-10-01,173.39999389648438,-22746.800231933594,-2946.4767139810356
,2018-06-01,78.1500015258789,2020-07-01,70.05000305175781,-3083.151168823242,-3950.2255583240553
,2018-10-01,75.25,2019-03-01,81.0999984741211,2547.2006072998047,3380.4919162336
,2019-04-01,125.30000305175781,2020-08-01,80.8499984741211,-11149.350364685059,-8898.124575527412
