ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent,Ticker,Fast Period,Slow Period
,2016-05-01,73.5999984741211,2020-11-01,43.599998474121094,-11925.098136901855,-16180.595156980235,NCC,30,100
,2017-05-01,87.9000015258789,2022-03-01,58.54999923706055,-9104.698959350586,-10381.641135887265,NCC,50,100
,2015-09-01,108.55000305175781,2023-07-01,192.6999969482422,23460.0,21366.11962473386,NCLIND,50,100
,2014-06-01,13.483332633972168,2019-10-01,11.300000190734863,-5708.264404296875,-42075.66215463865,NDL,22,100
,2022-10-01,27.549999237060547,2023-12-01,26.700000762939453,-598.4012451171875,-2140.9704070943812,NDL,22,100
,2014-08-01,15.683333396911621,2020-03-01,4.983333110809326,-20554.0,-131475.48081351633,NDL,30,100
,2014-12-01,23.216665267944336,2021-01-01,9.600000381469727,-18152.599014282227,-76755.17677412258,NDL,50,100
,2016-08-01,85.19999694824219,2017-03-01,68.75,-6230.39892578125,-7223.650928442029,NDTV,22,100
,2016-09-01,84.5999984741211,2017-08-01,35.75,-17169.0,-20294.326607171217,NDTV,30,100
,2017-01-01,74.25,2019-03-01,35.95000076293945,-15008.600616455078,-20145.77263953702,NDTV,50,100
,2015-01-01,34.650001525878906,2019-01-01,18.149999618530273,-14575.250329971313,-41643.57237134661,NECLIFE,22,100
,2022-08-01,22.899999618530273,2023-04-01,18.299999237060547,-6026.000499725342,-26314.413100903323,NECLIFE,22,150
,2022-03-01,24.049999237060547,2023-04-01,18.299999237060547,-7731.400951385498,-31556.738577083666,NECLIFE,22,200
,2015-06-01,34.04999923706055,2019-05-01,19.049999237060547,-13215.0,-38867.64705882353,NECLIFE,30,100
,2016-01-01,44.79999923706055,2020-03-01,9.800000190734863,-23682.60038280487,-52395.132705888784,NECLIFE,50,100
,2018-05-01,52.20000076293945,2019-05-01,39.04999923706055,-7576.798248291016,-14336.420940487113,NFL,22,100
,2018-12-01,36.349998474121094,2019-12-01,26.0,-8456.25,-23199.587991772813,NFL,30,100
,2020-02-01,22.600000381469727,2022-04-01,58.900001525878906,47307.54949378967,207035.22408758412,NFL,50,100
,2014-12-01,386.2250061035156,2020-01-01,260.6000061035156,-10100.47640991211,-2596.85720347421,NIPPOBATRY,22,100
,2022-01-01,479.1000061035156,2023-08-01,422.29998779296875,-4433.0,-910.9216183290339,NIPPOBATRY,22,100
,2015-03-01,343.125,2020-05-01,225.375,-10111.57553100586,-2971.8076505527874,NIPPOBATRY,30,100
,2015-04-01,347.95001220703125,2021-05-01,411.95001220703125,6574.698425292969,1889.5525778516153,NIPPOBATRY,50,100
