Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss
EMAMIPAP,1,0,0,0.0
EMAMIREAL,3,2,0,299920.54776000977
EMKAY,4,2,1,-20005.724311065685
EMMBI,2,1,0,99991.19843673706
EMUDHRA,0,0,0,0.0
ENDURANCE,1,0,0,0.0
ENERGYDEV,4,3,1,71578.56260194778
ENGINERSIN,1,0,0,0.0
ENIL,3,1,1,-56266.20147705078
EPL,2,2,0,305697.9512615204
EQUIPPP,2,2,0,312500.0
EQUITASBNK,1,0,0,0.0
ERIS,1,0,0,0.0
EROSMEDIA,3,2,1,-17963.49281082154
ESABINDIA,1,1,0,100978.8076171875
ESCORTS,3,2,0,299293.3491516113
ESSARSHPNG,2,1,0,102159.19585418701
ESSENTIA,2,1,1,-59999.85763549805
ESTER,1,1,0,104552.80548858643
ETHOSLTD,0,0,0,0.0
EUROTEXIND,3,2,0,299991.7984981537
EVEREADY,2,1,1,-58266.10134887695
EVERESTIND,3,3,0,703319.4533538818
EXCEL,2,2,0,299999.64211413264
EXCELINDUS,1,0,0,0.0
EXIDEIND,2,1,0,99984.6478729248
EXPLEOSOL,2,2,0,301520.0087966919
EXXARO,1,0,0,0.0
FACT,1,1,0,99982.05228042603
FAIRCHEMOR,0,0,0,0.0
FCL,1,1,0,100084.99717712402
FCONSUMER,2,0,2,-95032.157828331
FCSSOFT,2,1,0,99999.89735090733
FDC,2,1,0,99899.79650878906
FEDERALBNK,2,1,0,99997.79814147949
FELDVR,3,1,1,-59446.77661933898
FIBERWEB,0,0,0,0.0
FIEMIND,1,0,1,-79791.6
FILATEX,1,1,0,104460.35173594952
FINCABLES,2,1,0,99939.60238647461
FINEORG,0,0,0,0.0
FINOPB,1,0,0,0.0
FINPIPE,2,1,0,99999.24071502686
FLEXITUFF,2,1,1,-58236.2154270172
FLFL,2,1,1,-50024.10835876467
FLUOROCHEM,1,1,0,99931.99829101562
FMGOETZE,1,0,0,0.0
FMNL,2,1,1,-49992.60129051207
FOCUS,1,1,0,99995.72356128693
FOODSIN,1,0,0,0.0
FORTIS,2,2,0,300490.7930755615
FOSECOIND,1,0,0,0.0
FSC,2,0,2,-95913.876953125
FSL,3,2,0,299937.44501304626
GABRIEL,2,2,0,302000.3091430664
GAEL,2,2,0,299952.74788856506
GAIL,2,1,0,99952.43832397461
GALAXYSURF,1,1,0,99646.19604492188
GALLANTT,1,1,0,100582.65355682373
GANDHITUBE,2,2,0,300556.62677001953
GANECOS,2,2,0,299540.9061279297
GANESHBE,0,0,0,0.0
GANESHHOUC,2,2,0,304829.99156188965
GANGAFORGE,1,1,0,99999.64538300037
GANGESSECU,1,1,0,103479.59651184082
GARFIBRES,2,1,0,99971.5545501709
GATEWAY,0,0,0,0.0
GAYAHWS,1,1,0,109090.80433487892
GEECEE,2,1,0,99996.59725570679
GEEKAYWIRE,2,1,0,99993.59735107422
GENCON,0,0,0,0.0
GENESYS,2,2,0,309790.8604736328
GENUSPAPER,1,1,0,99995.0
GENUSPOWER,3,3,0,699849.4529056549
GEOJITFSL,2,1,0,99973.5
GEPIL,1,0,1,-79781.7568359375
GESHIP,1,1,0,99732.50427246094
GET&D,3,1,1,-58493.112396240234
GFLLIMITED,2,1,0,99990.00778961182
GHCL,2,2,0,302454.0069961548
GICHSGFIN,4,2,1,-19316.912721252476
GICRE,1,0,0,0.0
GILLANDERS,1,0,0,0.0
GILLETTE,1,0,0,0.0
GINNIFILA,3,3,0,732492.4644842148
GIPCL,2,1,0,100974.90464782715
GKWLIMITED,2,1,0,99736.94696044922
GLAND,0,0,0,0.0
GLAXO,1,0,0,0.0
GLENMARK,1,0,0,0.0
GLFL,1,0,1,-70909.02028899193
GLOBAL,1,1,0,99987.80335235596
GLOBALVECT,2,1,0,99996.0481748581
GLOBE,0,0,0,0.0
GLOBUSSPR,2,2,0,299885.3546295166
GLS,0,0,0,0.0
GMBREW,1,0,0,0.0
GMDCLTD,1,0,0,0.0
