Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss
SAPPHIRE,0,0,0,0.0
SARDAEN,5,0,4,-589497.0138570785
SAREGAMA,2,0,2,-339054.3343121528
SARLAPOLY,1,1,0,999992.378982544
SARVESHWAR,4,1,3,3146.6322501541
SASKEN,2,1,1,600011.4417724609
SASTASUNDR,6,1,5,-324368.69208831765
SATIA,0,0,0,0.0
SATIN,5,1,4,-197838.7492828368
SBC,1,1,0,1007630.4942426682
SBCL,0,0,0,0.0
SBICARD,1,0,0,0.0
SBILIFE,1,1,0,1003952.318359375
SBIN,3,0,2,-357697.1478881835
SCHAEFFLER,2,1,1,599788.6427368164
SCHAND,1,0,1,-197428.0
SCHNEIDER,2,0,2,-355445.45725097647
SCI,8,2,5,310721.7122314456
SDBL,2,0,2,-333541.1202198027
SEAMECLTD,3,1,2,293876.85888671875
SECURCRED,2,0,2,-356297.772631526
SECURKLOUD,3,0,2,-347622.06957550044
SELAN,4,1,3,24001.268884277437
SELMC,4,0,4,-588620.0
SEMAC,5,2,3,1129909.6894775394
SEPC,2,0,2,-415991.1537613869
SEQUENT,3,0,3,-549289.2638893127
SERVOTECH,3,0,3,-587831.8416960238
SESHAPAPER,1,0,0,0.0
SETCO,2,1,1,599990.9302150727
SEYAIND,2,0,2,-453537.3757343292
SFL,2,1,0,1000627.6878662109
SGIL,0,0,0,0.0
SGL,6,2,4,1009367.9696774962
SHAHALLOYS,4,0,4,-586817.9523405074
SHAILY,0,0,0,0.0
SHAKTIPUMP,4,0,4,-567902.4187225341
SHALBY,0,0,0,0.0
SHALPAINTS,4,3,1,5535833.732254028
SHANKARA,2,0,2,-359931.3265502929
SHANTI,2,1,1,599999.7101570129
SHANTIGEAR,2,0,2,-358512.6553482055
SHARDACROP,2,1,1,599850.1724792481
SHARDAMOTR,4,1,3,75866.85438232427
SHAREINDIA,0,0,0,0.0
SHEMAROO,4,1,2,-529467.0954666138
SHILPAMED,6,1,5,-487291.86816253635
SHIVALIK,1,0,1,-186156.79999999996
SHIVAMAUTO,5,1,4,-222779.17760620112
SHIVAMILLS,2,0,1,-199991.8147476196
SHIVATEX,3,1,2,322554.8224876405
SHK,0,0,0,0.0
SHOPERSTOP,6,2,4,686791.8409423832
SHRADHA,4,1,2,275468.7212131501
SHREDIGCEM,1,0,0,0.0
SHREECEM,2,0,1,-199942.6611328125
SHREEPUSHK,2,1,1,600061.3637344361
SHREERAMA,1,1,0,1063290.8411347866
SHRENIK,4,1,3,126280.29973859794
SHREYANIND,4,2,2,1592574.0535644533
SHREYAS,3,0,3,-488912.2183349608
SHRIPISTON,1,1,0,1016834.0
SHRIRAMFIN,3,1,1,630291.6991333009
SHRIRAMPPS,0,0,0,0.0
SHYAMCENT,1,1,0,1028981.7552852631
SHYAMMETL,0,0,0,0.0
SHYAMTEL,6,1,5,-318254.23571424466
SIEMENS,3,0,3,-479270.1580322265
SIGACHI,0,0,0,0.0
SIGIND,5,1,4,-396873.3775421142
SIGMA,0,0,0,0.0
SIKKO,2,1,1,599996.2000000001
SIL,3,0,3,-452890.4766586302
SILGO,1,0,1,-199999.2091369629
SILINV,4,2,2,1579912.0482177737
SILLYMONKS,3,0,3,-447375.3554748534
SILVERTUC,0,0,0,0.0
SIMBHALS,6,0,6,-734739.7195276261
SIMPLEXINF,5,2,3,1018303.8489974979
SINTERCOM,3,1,2,307856.450265503
SIRCA,1,1,0,999982.5298309326
SIS,1,0,1,-199923.8140136718
SIYSIL,5,2,3,1051437.139176178
SJS,0,0,0,0.0
SJVN,2,0,1,-186486.25532340995
SKFINDIA,1,1,0,999982.1613769531
SKIPPER,2,0,2,-341736.3173431397
SKMEGGPROD,2,2,0,3006016.406993866
SMARTLINK,2,0,2,-359980.7009353637
SMCGLOBAL,0,0,0,0.0
SMLISUZU,5,1,4,-179957.34064941356
SMLT,0,0,0,0.0
SMSLIFE,1,0,0,0.0
SMSPHARMA,2,0,2,-356505.2210264205
SNOWMAN,4,0,3,-470692.52517852775
SOBHA,8,1,7,-643723.1584350584
SOFTTECH,2,1,1,600001.0
SOLARA,1,0,0,0.0
SOLARINDS,2,1,1,625468.2095703125
SOMANYCERA,4,1,3,24095.324679565558
SOMATEX,3,1,2,309524.3605931044
SOMICONVEY,0,0,0,0.0
SONACOMS,0,0,0,0.0
SONAMLTD,2,0,1,-199999.12500000003
SONATSOFTW,4,1,2,146576.72361183167
SOTL,4,1,3,61171.649298095785
SOUTHBANK,4,1,3,89092.42760591532
SOUTHWEST,3,1,2,279963.3581466676
SPAL,3,1,2,291046.6259765625
SPANDANA,1,0,1,-191645.90825195305
SPARC,5,0,4,-584282.2115356446
SPCENET,3,0,3,-539614.9468167543
SPECIALITY,3,1,2,279996.79228630086
SPENCERS,1,0,1,-195574.3431335449
SPIC,4,0,3,-511019.3419929503
SPLIL,2,0,2,-359994.5984802245
SPLPETRO,1,0,1,-196229.41314697266
SPMLINFRA,3,1,2,313126.43143157964
SPYL,5,1,4,-202077.87086622702
SREEL,3,1,2,310774.33399353037
SRF,1,1,0,999676.8328857422
SRHHYPOLTD,2,0,2,-359996.65673828125
SRPL,1,1,0,999997.9698069096
SSWL,1,1,0,999990.2914237976
STAR,3,1,2,281280.73208007845
STARCEMENT,0,0,0,0.0
STARHEALTH,0,0,0,0.0
STARPAPER,5,1,4,-326444.4473670004
STARTECK,0,0,0,0.0
STCINDIA,5,2,3,1063067.185951233
STEELCAS,0,0,0,0.0
STEELCITY,2,1,1,646746.2282867432
STEELXIND,4,1,3,112530.48330018524
STEL,4,1,3,47217.42000618004
STERTOOLS,3,1,2,340699.2170410158
STLTECH,3,0,3,-481956.9691802978
STOVEKRAFT,1,0,0,0.0
STYLAMIND,0,0,0,0.0
STYRENIX,2,0,2,-358023.357421875
SUBEXLTD,5,2,3,1075408.4638631823
SUBROS,3,1,2,295902.14863281255
SUDARSCHEM,3,2,1,2474266.532421875
SUMICHEM,0,0,0,0.0
SUMIT,1,1,0,999999.0
SUMMITSEC,2,1,1,635013.5639709473
SUNDARAM,7,0,7,-786250.4483771323
SUNDARMFIN,3,2,0,3018087.9611816406
SUNDARMHLD,2,1,1,599986.9341979981
SUNDRMBRAK,3,2,1,2199934.49876709
SUNDRMFAST,5,1,4,-169602.78076171863
SUNFLAG,4,1,3,25301.092767334223
SUNPHARMA,5,0,5,-670261.1380310056
SUNTECK,3,1,2,329544.376864624
SUNTV,3,0,2,-359934.9499999999
SUPERHOUSE,1,0,1,-217735.67120361328
SUPERSPIN,1,0,1,-199998.68719749444
SUPRAJIT,4,2,1,2199957.390430069
SUPREMEENG,3,0,3,-487999.5039524078
SUPREMEIND,1,0,1,-199942.44999999995
SUPREMEINF,9,2,7,-155913.16693000775
SUPRIYA,1,0,1,-199956.61323852534
SURANASOL,3,0,3,-559711.5807010651
SURANAT&P,1,0,1,-178722.61217451093
SURYALAXMI,2,0,2,-359986.8167617797
SURYAROSNI,4,2,2,1585228.6162361146
SURYODAY,2,0,1,-266786.9549560547
SUTLEJTEX,0,0,0,0.0
SUULD,1,1,0,1019792.8133068085
