Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
CCL,2,1,1,-859,-0.86,"33.25, 402.8500061035156","17.985000610351562, 572.7999877929688"
CDSL,1,1,0,38271,38.27,489.70001220703125,1115.300048828125
CEATLTD,0,0,0,0,0.0,,
CENTRALBK,1,0,1,-11009,-11.01,105.9000015258789,67.8499984741211
CENTUM,2,1,1,53173,53.17,"155.89999389648438, 582.3499755859375","484.8999938964844, 422.70001220703125"
CENTURYPLY,2,1,1,5291,5.29,"170.64999389648438, 397.8999938964844","149.5, 514.5"
CENTURYTEX,0,0,0,0,0.0,,
CERA,1,1,0,1538,1.54,3907.300048828125,4132.75
CESC,2,1,1,12175,12.17,"33.43196487426758, 77.97350311279297","49.18736267089844, 73.69126892089844"
CGCL,0,0,0,0,0.0,,
CGPOWER,2,0,2,-9253,-9.25,"95.81119537353516, 69.67141723632812","84.7767105102539, 56.29838562011719"
CHALET,0,0,0,0,0.0,,
CHAMBLFERT,2,1,1,380,0.38,"80.05000305175781, 237.75","75.75, 266.1499938964844"
CHENNPETRO,1,1,0,13963,13.96,222.89999389648438,327.3500061035156
CHOLAFIN,1,0,1,-6819,-6.82,37.869998931884766,29.459999084472656
CHOLAHLDNG,2,1,1,-3081,-3.08,"80.93643188476562, 684.2999877929688","82.994140625, 593.2000122070312"
CIEINDIA,1,1,0,10449,10.45,116.1500015258789,158.0
CIGNITITEC,1,0,1,-7540,-7.54,572.2999877929688,429.75
CIPLA,3,2,1,3000,3.0,"279.8999938964844, 414.25, 825.9000244140625","299.6499938964844, 384.29998779296875, 906.4000244140625"
COALINDIA,0,0,0,0,0.0,,
COCHINSHIP,0,0,0,0,0.0,,
COFORGE,1,0,1,-9017,-9.02,219.39999389648438,179.75
COLPAL,1,1,0,2657,2.66,1064.6500244140625,1152.3499755859375
CONCOR,1,0,1,-1428,-1.43,276.54400634765625,257.17333984375
CONFIPET,0,0,0,0,0.0,,
COROMANDEL,2,1,1,2295,2.3,"419.6000061035156, 644.2999877929688","393.6000061035156, 740.2000122070312"
CRAFTSMAN,0,0,0,0,0.0,,
CREDITACC,0,0,0,0,0.0,,
CRISIL,1,1,0,18776,18.78,552.7949829101562,884.3499755859375
CROMPTON,0,0,0,0,0.0,,
CSBBANK,0,0,0,0,0.0,,
CUB,1,0,1,-206,-0.21,31.254934310913086,31.004608154296875
CUMMINSIND,1,0,1,-2679,-2.68,454.5714416503906,422.8571472167969
CUPID,0,0,0,0,0.0,,
CYIENT,2,0,2,-9628,-9.63,"641.8499755859375, 1062.75","598.5999755859375, 783.4000244140625"
DABUR,1,1,0,12180,12.18,68.82499694824219,95.30000305175781
DALBHARAT,0,0,0,0,0.0,,
DALMIASUG,0,0,0,0,0.0,,
DATAMATICS,3,1,2,837,0.84,"39.70000076293945, 128.5, 314.3999938964844","52.650001525878906, 102.1500015258789, 277.04998779296875"
DBCORP,1,1,0,3505,3.5,294.8999938964844,327.5
DBL,0,0,0,0,0.0,,
DBREALTY,1,1,0,21042,21.04,35.900001525878906,59.599998474121094
DCAL,0,0,0,0,0.0,,
DCBBANK,1,1,0,13566,13.57,60.400001525878906,86.80000305175781
DCMSHRIRAM,2,0,2,-7834,-7.83,"68.44999694824219, 912.0","52.099998474121094, 871.9500122070312"
DEEPAKFERT,2,1,1,6650,6.65,"172.8815460205078, 393.95001220703125","143.64779663085938, 548.7000122070312"
DEEPAKNTR,0,0,0,0,0.0,,
DELTACORP,1,0,1,-10955,-10.96,263.1499938964844,166.4499969482422
DEN,0,0,0,0,0.0,,
DHANI,1,1,0,62415,62.41,110.48796844482422,340.25
DHANUKA,1,0,1,-1285,-1.29,769.0999755859375,739.0
DIACABS,0,0,0,0,0.0,,
DIAMONDYD,0,0,0,0,0.0,,
DISHTV,1,0,1,-12629,-12.63,116.05000305175781,67.75
DIVISLAB,1,1,0,42844,42.84,1482.6500244140625,3591.300048828125
DIXON,0,0,0,0,0.0,,
DLF,2,1,1,-5047,-5.05,"193.35000610351562, 302.5","162.5500030517578, 312.70001220703125"
DMART,0,0,0,0,0.0,,
DOLATALGO,0,0,0,0,0.0,,
DOLLAR,1,0,1,-1236,-1.24,447.04998779296875,428.3999938964844
DOLPHIN,0,0,0,0,0.0,,
DPABHUSHAN,0,0,0,0,0.0,,
DREDGECORP,2,0,2,-6736,-6.74,"446.20001220703125, 579.6500244140625","357.8999938964844, 558.25"
DRREDDY,1,1,0,12178,12.18,1146.5999755859375,1614.949951171875
DYNAMATECH,1,0,1,-2967,-2.97,2119.64990234375,1969.4000244140625
E2E,0,0,0,0,0.0,,
EASEMYTRIP,0,0,0,0,0.0,,
ECLERX,2,1,1,15983,15.98,"542.6001586914062, 1509.300048828125","898.7000122070312, 1319.699951171875"
EDELWEISS,0,0,0,0,0.0,,
EICHERMOT,1,1,0,1439909,1439.91,56.78499984741211,2779.85498046875
EIDPARRY,1,1,0,17042,17.04,317.79998779296875,502.3500061035156
EIHAHOTELS,2,1,1,18938,18.94,"183.8000030517578, 438.0","325.79998779296875, 391.3999938964844"
EIHOTEL,1,0,1,-1847,-1.85,110.63661193847656,105.24209594726562
ELECON,1,0,1,-10909,-10.91,68.30000305175781,42.95000076293945
ELECTCAST,2,0,2,-15467,-15.47,"36.400001525878906, 37.150001525878906","23.799999237060547, 31.100000381469727"
ELGIEQUIP,1,1,0,10619,10.62,26.125,35.42499923706055
