Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
KAJARIACER,1,1,0,19908,19.91,703.5999755859375,1154.8499755859375
KALYANIFRG,0,0,0,0,0.0,,
KALYANKJIL,0,0,0,0,0.0,,
KAMATHOTEL,0,0,0,0,0.0,,
KAMDHENU,0,0,0,0,0.0,,
KANORICHEM,1,0,1,-13320,-13.32,186.8000030517578,106.55000305175781
KANPRPLA,0,0,0,0,0.0,,
KANSAINER,1,0,1,-7644,-7.64,405.1666564941406,303.1000061035156
KAPSTON,0,0,0,0,0.0,,
KARURVYSYA,1,1,0,2933,2.93,57.91111755371094,64.4369888305664
KAYA,0,0,0,0,0.0,,
KCP,2,0,2,-19884,-19.88,"45.150001525878906, 130.6999969482422","30.25, 93.4000015258789"
KCPSUGIND,0,0,0,0,0.0,,
KDDL,0,0,0,0,0.0,,
KEC,0,0,0,0,0.0,,
KECL,0,0,0,0,0.0,,
KEI,0,0,0,0,0.0,,
KELLTONTEC,0,0,0,0,0.0,,
KERNEX,0,0,0,0,0.0,,
KESORAMIND,0,0,0,0,0.0,,
KHADIM,0,0,0,0,0.0,,
KHAICHEM,0,0,0,0,0.0,,
KICL,2,1,1,-4865,-4.87,"1001.8499755859375, 2610.550048828125","1184.800048828125, 1822.5"
KILITCH,0,0,0,0,0.0,,
KIMS,0,0,0,0,0.0,,
KINGFA,0,0,0,0,0.0,,
KIOCL,1,0,1,-9600,-9.6,250.0,168.5500030517578
KIRIINDUS,0,0,0,0,0.0,,
KIRLOSBROS,0,0,0,0,0.0,,
KIRLOSENG,1,0,1,-16929,-16.93,332.5,144.0500030517578
KIRLOSIND,0,0,0,0,0.0,,
KITEX,0,0,0,0,0.0,,
KKCL,1,1,0,60700,60.7,117.5199966430664,356.0
KMSUGAR,0,0,0,0,0.0,,
KNRCON,2,2,0,82362,82.36,"28.354999542236328, 162.1999969482422","89.125, 256.45001220703125"
KOKUYOCMLN,1,1,0,14685,14.68,63.0,93.3499984741211
KOLTEPATIL,1,0,1,-11172,-11.17,88.94999694824219,55.849998474121094
KOPRAN,2,2,0,17821,17.82,"36.650001525878906, 138.5","55.04999923706055, 150.85000610351562"
KOTAKBANK,0,0,0,0,0.0,,
KOTARISUG,0,0,0,0,0.0,,
KOTHARIPET,1,1,0,35092,35.09,10.600000381469727,22.100000381469727
KOTHARIPRO,0,0,0,0,0.0,,
KPITTECH,0,0,0,0,0.0,,
KPRMILL,1,0,1,-17635,-17.63,22.7450008392334,9.890000343322754
KRBL,3,1,2,244894,244.89,"25.350000381469727, 34.04999923706055, 367.54998779296875","17.200000762939453, 337.25, 277.3500061035156"
KRISHANA,0,0,0,0,0.0,,
KRITI,0,0,0,0,0.0,,
KRITIKA,0,0,0,0,0.0,,
